date,state,route,route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,available_seats,price
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - PLB0002,Shatabdi AC Seater 2+2,00:25,05h 35m,06:00,4.1,12,INR 598
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - STD0080,Ordinary Non AC Seater 2+3,00:35,07h 25m,08:00,3.3,52,INR 450
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - STD0072,Janrath AC Seater 2+2,00:40,05h 05m,05:45,3.3,20,INR 598
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - KSB0043,Shatabdi AC Seater 2+2,06:00,05h 30m,11:30,2.6,37,INR 598
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - BLY0150,Janrath AC Seater 2+2,07:05,04h 40m,11:45,3.3,33,INR 598
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - BLY0145,Rajdhani Non AC Seater 2+3,07:30,05h 00m,12:30,3.3,52,INR 448
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - RKD0052,Ordinary Non AC Seater 2+3,08:00,05h 30m,13:30,3.3,52,INR 448
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - RKD0133,Janrath AC Seater 2+2,08:15,05h 30m,13:45,3.4,36,INR 598
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - PLB0055,Rajdhani Non AC Seater 2+3,08:30,05h 59m,14:29,3.3,51,INR 454
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - BLY0108,Janrath AC Seater 2+2,09:02,04h 43m,13:45,3.3,35,INR 598
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - KSB0071,Shatabdi AC Seater 2+2,09:32,05h 28m,15:00,3.3,37,INR 598
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - RKD0053,Ordinary Non AC Seater 2+3,10:00,05h 30m,15:30,3.3,52,INR 448
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - RKD0110,Shatabdi AC Seater 2+2,10:01,05h 00m,15:01,4.3,34,INR 598
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - RKD0112,Janrath AC Seater 2+2,10:31,05h 30m,16:01,4.4,36,INR 598
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - BLY0147,Rajdhani Non AC Seater 2+3,11:00,05h 00m,16:00,3.3,52,INR 448
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - KSB0035,Shatabdi AC Seater 2+2,11:00,06h 00m,17:00,4.4,37,INR 598
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - RKD0114,Shatabdi AC Seater 2+2,11:36,05h 30m,17:06,2.7,37,INR 598
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - BLY0152,Janrath AC Seater 2+2,12:01,04h 29m,16:30,3.3,52,INR 598
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - RKD0086,Ordinary Non AC Seater 2+3,12:30,06h 00m,18:30,3.3,52,INR 448
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - PLB0073,Shatabdi AC Seater 2+2,12:30,06h 31m,19:01,3.3,37,INR 598
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - BLY0151,Janrath AC Seater 2+2,12:59,04h 46m,17:45,3.3,52,INR 598
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - RKD0083,Ordinary Non AC Seater 2+3,13:11,05h 50m,19:01,3.3,52,INR 448
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - BLY0101,Shatabdi AC Seater 2+2,13:31,04h 59m,18:30,3.6,37,INR 598
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - BLY0103,Shatabdi AC Seater 2+2,14:01,04h 59m,19:00,4.0,37,INR 598
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - BRT0064,Ordinary Non AC Seater 2+3,14:25,06h 35m,21:00,3.3,52,INR 448
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - PLB0001,Shatabdi AC Seater 2+2,14:30,05h 30m,20:00,4.1,37,INR 598
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - KSB0052,Shatabdi AC Seater 2+2,15:00,06h 00m,21:00,1.3,37,INR 598
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - BRT0065,Ordinary Non AC Seater 2+3,15:25,06h 35m,22:00,3.3,52,INR 448
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - RKD0139,Shatabdi AC Seater 2+2,15:30,05h 00m,20:30,2.8,37,INR 598
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - RKD0089,Ordinary Non AC Seater 2+3,16:01,07h 58m,23:59,3.3,52,INR 476
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - RKD0119,Shatabdi AC Seater 2+2,16:16,05h 00m,21:16,3.2,37,INR 598
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - KSB0010,Volvo AC Seater 2+2,17:00,05h 30m,22:30,4.5,38,INR 844
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - RKD0130,Janrath AC Seater 2+3,17:31,05h 00m,22:31,2.4,48,INR 520
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - SRG0099,Ordinary Non AC Seater 2+3,17:50,06h 59m,00:49,3.3,52,INR 418
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - BLY0111,Janrath AC Seater 2+2,19:01,04h 44m,23:45,3.2,36,INR 598
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - HDD0063,Ordinary Non AC Seater 2+3,19:39,05h 24m,01:03,3.3,52,INR 415
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - RKD0128,Janrath AC Seater 2+2,20:01,05h 00m,01:01,4.1,36,INR 598
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - BRT0007,Ordinary Non AC Seater 2+3,21:25,06h 35m,04:00,3.3,52,INR 448
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - STD0354,Ordinary Non AC Seater 2+3,21:27,06h 15m,03:42,3.3,52,INR 448
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - LNI0017,Rajdhani Non AC Seater 2+3,21:31,05h 29m,03:00,3.3,51,INR 418
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - BLY0139,Janrath AC Seater 2+2,21:31,05h 59m,03:30,3.1,36,INR 598
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - RKD0121,Shatabdi AC Seater 2+2,22:01,05h 00m,03:01,3.2,37,INR 598
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - STD0163,Ordinary Non AC Seater 2+3,22:09,07h 16m,05:25,3.3,52,INR 448
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - KSB0008,Shatabdi AC Seater 2+2,22:30,06h 15m,04:45,2.8,37,INR 598
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - KSB0080,Shatabdi AC Seater 2+2,22:31,06h 15m,04:46,0,37,INR 598
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - HDD0005,Janrath AC Seater 2+2,22:45,06h 45m,05:30,3.3,36,INR 602
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - KSB0028,Shatabdi AC Seater 2+2,22:45,06h 15m,05:00,3.9,37,INR 598
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - LKM0022,Shatabdi AC Seater 2+2,23:00,05h 47m,04:47,3.3,40,INR 604
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - STD0296,Ordinary Non AC Seater 2+3,23:13,07h 18m,06:31,0,52,INR 448
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - STD0356,Ordinary Non AC Seater 2+3,23:18,06h 45m,06:03,0,52,INR 448
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - KSB0012,Volvo AC Seater 2+2,23:25,05h 30m,04:55,4.7,39,INR 844
